"","id","company_final"
"1",1,"bcbs"
"2",2,"constellation energy"
"3",3,"bedrockdata"
"4",4,"cypress health"
"5",5,"kaarya llc"
"6",6,"ettain group"
"7",7,NA
"8",8,NA
"9",9,"hp"
"10",10,"lowes"
"11",11,"mvc architecture"
"12",12,"cem"
"13",13,"oracle"
"14",14,"microsoft"
"15",15,"hp"
"16",16,"motorola"
"17",17,"amazon"
"18",18,NA
"19",19,"oracle"
"20",20,"citi"
"21",21,"djangostars"
"22",22,"engineer narra"
"23",23,"cdi corporation"
"24",24,"paychex inc"
"25",25,"mercury"
"26",26,"credorax group"
"27",27,"s3 group "
"28",28,"pagefair limited"
"29",29,"hp"
"30",30,"columbia university"
"31",31,"rockwell automation"
"32",32,NA
"33",33,"amazon"
"34",34,"google"
"35",35,"mercury"
"36",36,"cem"
"37",37,"google"
"38",38,NA
"39",39,"khodro azma"
"40",40,NA
"41",41,"illinois institute"
"42",42,"citigroup"
"43",43,"ibm"
"44",44,NA
"45",45,"mobiquity"
"46",46,"cem"
"47",47,NA
"48",48,"amazon"
"49",49,"rolls-royce"
"50",50,NA
"51",51,NA
"52",52,NA
"53",53,"hp"
"54",54,"raytheon"
"55",55,"clear capital"
"56",56,"univ. of california"
"57",57,"asu"
"58",58,"leap frog"
"59",59,"microsoft"
"60",60,"asu"
"61",61,"microsoft"
"62",62,NA
"63",63,"google"
"64",64,"ibm"
"65",65,"ifs r&d"
"66",66,"wesgrow software"
"67",67,NA
"68",68,"southwest airlines,"
"69",69,"intel"
"70",70,"red hat"
"71",71,NA
"72",72,NA
"73",73,"hp"
"74",74,"university of iowa"
"75",75,"function by"
"76",76,"columbia university"
"77",77,"red hat"
"78",78,"oracle"
"79",79,"leidos"
"80",80,"center for"
"81",81,NA
"82",82,"cisco"
"83",83,"bank of america"
"84",84,"cem"
"85",85,"johnson controls,"
"86",86,NA
"87",87,"google"
"88",88,"hp"
"89",89,"additive rocket"
"90",90,"nuance"
"91",91,NA
"92",92,"microsoft"
"93",93,"oracle"
"94",94,"brigham young"
"95",95,"verizon"
"96",96,NA
"97",97,"firetech"
"98",98,"hp"
"99",99,NA
"100",100,NA
"101",101,"human capital"
"102",102,"shapiro +"
"103",103,"nativo"
"104",104,"microsoft"
"105",105,"funeral services,"
"106",106,"stanford university"
"107",107,"hp"
"108",108,"repiscore, inc"
"109",109,"ejada ltd"
"110",110,"dupont pioneer"
"111",111,"mercury"
"112",112,"ibm"
"113",113,NA
