"","id","state","city","lat","long"
"1",1,"IL","Chicago,",40.633125,-89.398528
"2",2,"MD","Baltimore,",39.045755,-76.641271
"3",3,"MA","Boston,",42.407211,-71.382437
"4",4,"GA","Duluth,",32.157435,-82.907123
"5",5,"CA","Hill,",36.778261,-119.417932
"6",6,NA,NA,NA,NA
"7",7,NA,NA,NA,NA
"8",8,"MA","Lexington,",42.407211,-71.382437
"9",9,"NY","York,",43.299428,-74.217933
"10",10,"NC","Mooresville,",35.759573,-79.0193
"11",11,"CO","Englewood,",39.550051,-105.782067
"12",12,NA,NA,NA,NA
"13",13,NA,NA,NA,NA
"14",14,NA,NA,NA,NA
"15",15,"MA","Marlborough,",42.407211,-71.382437
"16",16,NA,NA,NA,NA
"17",17,"MA","Maynard,",42.407211,-71.382437
"18",18,NA,NA,NA,NA
"19",19,NA,NA,NA,NA
"20",20,NA,NA,NA,NA
"21",21,NA,NA,NA,NA
"22",22,"CA","Clara,",36.778261,-119.417932
"23",23,"FL","Orlando,",27.664827,-81.515754
"24",24,"NY","Webster,",43.299428,-74.217933
"25",25,"CA","SanFrancisco,",36.778261,-119.417932
"26",26,"MA","Southborough,",42.407211,-71.382437
"27",27,"PA","Philadelphia,",41.203322,-77.194525
"28",28,NA,NA,NA,NA
"29",29,NA,NA,NA,NA
"30",30,"NY","York,",43.299428,-74.217933
"31",31,"WI","Milwaukee,",43.78444,-88.787868
"32",32,"CA","City,",36.778261,-119.417932
"33",33,"WA","Seattle,",47.751074,-120.740139
"34",34,"KS","Park,",39.011902,-98.484246
"35",35,"FL","Sarasota,",27.664827,-81.515754
"36",36,NA,NA,NA,NA
"37",37,"SC","Jackson,",33.836081,-81.163725
"38",38,"LA","Lacombe,",31.244823,-92.145024
"39",39,NA,NA,NA,NA
"40",40,"CA","Altos,",36.778261,-119.417932
"41",41,"IL","Chicago,",40.633125,-89.398528
"42",42,"MN","Minneapolis,",46.729553,-94.6859
"43",43,"CA","Alto,",36.778261,-119.417932
"44",44,"WV","Wheeling,",38.597626,-80.454903
"45",45,"RI","Providence,",41.580095,-71.477429
"46",46,"IL","Chicago,",40.633125,-89.398528
"47",47,NA,NA,NA,NA
"48",48,"NJ","Brunswick,",40.058324,-74.405661
"49",49,"IN","Indianapolis,",40.551217,-85.602364
"50",50,"NY","York,",43.299428,-74.217933
"51",51,"PA","Pittsburgh,",41.203322,-77.194525
"52",52,NA,NA,NA,NA
"53",53,"OH","Defiance,",40.417287,-82.907123
"54",54,"AZ","ucson,",34.048928,-111.093731
"55",55,"NV","Reno,",38.80261,-116.419389
"56",56,"CA","Berkeley,",36.778261,-119.417932
"57",57,"IL","Lemont,",40.633125,-89.398528
"58",58,NA,NA,NA,NA
"59",59,NA,NA,NA,NA
"60",60,"CO","Collins,",39.550051,-105.782067
"61",61,"FL","Sunrise,",27.664827,-81.515754
"62",62,NA,NA,NA,NA
"63",63,NA,NA,NA,NA
"64",64,"PA","Hill,",41.203322,-77.194525
"65",65,NA,NA,NA,NA
"66",66,NA,NA,NA,NA
"67",67,"MI","Arbor,",44.314844,-85.602364
"68",68,NA,NA,NA,NA
"69",69,NA,NA,NA,NA
"70",70,"PA","Pittsburgh,",41.203322,-77.194525
"71",71,"AZ","ucson,",34.048928,-111.093731
"72",72,"GA","Woodstock,",32.157435,-82.907123
"73",73,"CA","Clara,",36.778261,-119.417932
"74",74,"IA","City,",41.878003,-93.097702
"75",75,NA,NA,NA,NA
"76",76,"NY","York,",43.299428,-74.217933
"77",77,"OR","Beaverton,",43.804133,-120.554201
"78",78,"VA","Reston,",37.431573,-78.656894
