"","id","position"
"1",1,"developer"
"2",2,"developer"
"3",3,"developer"
"4",4,"engineer"
"5",5,"developer"
"6",6,"developer"
"7",7,"assistant"
"8",8,"engineer"
"9",9,NA
"10",10,"developer"
"11",11,"developer"
"12",12,"developer"
"13",13,"developer"
"14",14,"developer"
"15",15,"developer"
"16",16,"engineer"
"17",17,"engineer"
"18",18,"student"
"19",19,"engineer"
"20",20,NA
"21",21,"developer"
"22",22,"developer"
"23",23,"engineer"
"24",24,"engineer"
"25",25,"developer"
"26",26,"analyst"
"27",27,NA
"28",28,"engineer"
"29",29,"engineer"
"30",30,"researcher"
"31",31,"engineer"
"32",32,NA
"33",33,"engineer"
"34",34,NA
"35",35,"programmer"
"36",36,"analyst"
"37",37,"developer"
"38",38,"engineer"
"39",39,"developer"
"40",40,"developer"
"41",41,"assistant"
"42",42,NA
"43",43,"developer"
"44",44,"programmer"
"45",45,"developer"
"46",46,"developer"
"47",47,NA
"48",48,"engineer"
"49",49,"engineer"
"50",50,NA
"51",51,"programmer"
"52",52,"developer"
"53",53,NA
"54",54,"engineer"
"55",55,"scientist"
"56",56,"developer"
"57",57,NA
"58",58,"developer"
"59",59,"developer"
"60",60,"management"
"61",61,"manager"
"62",62,NA
"63",63,"developer"
"64",64,"developer"
"65",65,"engineer"
"66",66,"engineer"
"67",67,"assistant"
"68",68,"developer"
"69",69,"developer"
"70",70,"developer"
"71",71,NA
"72",72,"assistant"
"73",73,"engineer"
"74",74,"assistant"
"75",75,"controller"
"76",76,NA
"77",77,"engineer"
"78",78,"architect"
"79",79,"engineer"
"80",80,"graduate"
"81",81,"tester"
"82",82,"engineer"
"83",83,"management"
"84",84,"developer"
"85",85,"developer"
"86",86,NA
"87",87,"developer"
"88",88,NA
"89",89,"engineer"
"90",90,"engineer"
"91",91,"engineer"
"92",92,"analyst"
"93",93,"analyst"
"94",94,"student"
"95",95,"developer"
"96",96,"graduate"
"97",97,"programmer"
"98",98,"freelance"
"99",99,"developer"
"100",100,NA
"101",101,"architect"
"102",102,"developer"
"103",103,"engineer"
"104",104,"assistant"
