"","id","job"
"1",1,"Java/J2EE Developer
BCBSA - Chicago, IL
Project Description: Blue Exchange (BX) solution is a Health Care Transactions Exchange platform solution, where Receiving, Validating and forwarding the healthcare related transactions and acknowledgements from host plans to home plans and vice versa in two formats such as ANSI X12 EDI and Value-Chain-Markup-Language (VCML) XML documents. It is composed of multiple components interacting among themselves while communicating with other external components such as Web Sphere MQ Applications and others.  Responsibilities: • As a Lead, Involved in requirement analysis and worked closely with Health Care Transactions Exchange platform Solution on understanding and gathering requirements • Involved with the team in building out a lean, responsive UI layer utilizing Bootstrap, AngularJS API architecture while adhering to the latest web UI standards, design patterns, and best practices. • Worked on user interface and user experience by developing the UI pages using HTML5, CSS3, JavaScript, AngularJS, JSON, Ajax. • Used web services - WSDL and SOAP for getting different information from different external systems. • Developed and consumed Restful webservices and SOAP webservices. • Conducted brainstorming sessions within team and with interfacing teams to understand the wholistic picture of the requirements. • Helping team in understanding the requirements and guiding the team on best approach on implementation. • Developing code for multiple modules of BEAST and HomeConnections. • Applying PCMS Framework for UI development, navigation between screens and transaction Management. • Using Core Java  for implementing the business rules. • Used XSLT for transforming the one format of the response to the other format. • Design and development of the business using Spring and Hibernate. • Involved in implementing the JMS (Java messaging service) for asynchronous   communication. • Involved in creating Database SQL queries. • Implemented Singleton classes for property loading and static data from DB. • Wrote different queries for database to retrieve the details from the Oracle database. • Used XML, XSD and JSON messages for Data transfer. Used JAXB API for XML parsing messages. • Worked with JUnit framework for writing JUnit tests. • Used JSON to XML and XML to JSON conversions apis to convert the message flowing in and out. • Implemented Business logic in the middle-tier using Java classes, Java beans. • Created and modified Complex SQL Commands. • Used Ant and Maven building tool. • Used Sonar, Findbugs to identify and fix statis defects to maintain coding standars. • Used Jenkins for building the application and promoting the application to various higher environments. • Implemented Agile methodology throughout the project development lifecycles. • Used Log4j for Logging various levels of information like error, info, debug into the log files. • Used Bugzilla for bug tracking. • Participating in all stand-up meetings to sync-up with the Use case requirements. • Assisting in high level coding, implementation and integration testing. • Handling all major functionalities and modules in project. • Supporting for issues reported. • Technical representation of the team. Leading team technically.  Environment: Java , J2EE, Webservices (SOAP, RESTFul), Collections, Threads, Jenkins, SONAR, FindBugs, Oracle, JBOSS, Apache Ant, CVS, Eclipse, XML, XSLT, HTML, JavaScript, CSS, JQuery, AngularJS, JSON, JMS
"
"2",2,"C/C++, Python Developer
Constellation Energy - Baltimore, MD
Responsibilities SecDb( Security Database ): It is a trading platform originally developed by Goldman Sachs and they still use it. Its features includes, in-memory objected oriented database server extremely fast data retrieval from the server. •    Maintain and continue the development of the trading applications in C/C++ using best practices and design patterns. •    Find creative solutions to design problems when existing solutions do not suffice and analyze existing software design and detect shortcomings, suggest and implement alternatives.  •    Addition of new features. •    Debugging, testing and code review. Technology Used: C, C++.  Creating SecDb interface for Python using Boost Python, •    Worked for  creating python interface for SecDb C/C++ api. •    Creating GUI using PyQt . •    Debugging, testing and code review. Technology Used: C, C++, Python, Boost Python.  Slang ( Security Language ): It’s a scripting language like python originally developed by Goldman Sachs to work with SecDb.  •    Maintain and continue the development of the scripting language in C/C++ using best practices and design patterns. •    Add new language construct / grammar.
"
"3",3,"Python developer
BedrockData - Boston, MA
Database modeling and design. Involved in developing and implementation of the web application using Ruby on Rails. • Simple web app for reviewing sitcoms that gives users the ability to view, add, review, up/down vote, search, etc. • Developed in Windows and going to deploy it in Linux server. • Utilized Active Record eager loading to improve rendering time of index pages, incorporated up/down voting, reviewing, and several custom sorting methods for shows to provide smooth user experience • Cross-referenced Seat Geek and Spotify APIs to get album artwork and track previews for each artist • Boston concert aggregator that provides a comprehensive list of shows in Boston with track previews, album artwork, tagging, up/down voting, and more to help users find the best show in town. • Exprienced in RSpec, Git, Object-oriented programming, MySQL, JavaScript, jQuery and, Amazon Web Services, Knockout. Environment: Python, MySql, Git, RSpec, Linux, Selenium, Active Admin, Amazon, Web Services.
"
"4",4,"QA Automation Engineer
Cypress Health Care - Duluth, GA
Duluth, GA.        Dec 14 - Till Date This project involves modifying and testing backend automation framework. This product interface is entirely web based. Worked on different features of the product like Processing, legal hold, collections etc. Role: QA Automation Engineer Responsibilities: • Gathered requirements and application information from Business Area Managers (BAM) and Subject Matter Experts (SME's) and developed test cases. • Involved in design and implementation of Selenium WebDriver automation framework for smoke and regression test suites (TestNG and Maven). • Developed and implemented robust MVC Pattern base testing with Selenium RC and WebDriver which cut down the script development time in half. • Involved in preparing test strategies for client side verifications and validations. • Configured Selenium WebDriver, TestNG, Maven tool and created selenium automation scripts in java using TestNG prior to agile release. • Involved in automating test cases using Selenium WebDriver with TestNG. • Involved in creation of automation framework in Selenium WebDriver using behavior driven approach like Cucumber. • Proven success in establishment of agile test practices including acceptance test automation using Cucumber (ruby scripting) during acceptance test driven development methodology. • Implemented Automated execution of tests (nightly and need based) using Maven and JENKINS. • Used automated scripts and performed functionality testing during the various phases of the application development using Selenium. • Extensively worked on selenium web Driver with the preferred Languages Java, C Sharp, Python, Ruby and Perl. • Involved in testing the application utilizing the Scrum (Agile) methodology. • Used TestNG framework to run unit test and Maven to build the Project. • Involved in testing the website for alink, vlink properties of the hyperlinks and broken links. • Involved in testing compatibility of application for dynamic and static content under various cross browsers using HTML IDs and XPath in Selenium. • Implemented open source web test tool Selenium WebDriver for cross browser and cross platform web testing. • Used Selenium WebDriver to test search results of Meta search engine. • Designed and developed test structure for web services to validate API calls using SOAP UI. • Developed and executed SQL queries to verify the proper insertion, deletion and updates into the Oracle supporting tables and cubes. • Performed SOA / web services testing using SOAP UI; wrote adaptors to test / invoke web services. • Conducted oracle database tests by executing SQL queries to ensure the data integrity by checking various kinds of constraints. • Reviewed database test cases according to assigned Requirements to validate reports by retrieving data with complex SQL queries from oracle database. • Prepared user documentation with screenshots for UAT (User Acceptance testing). • Performed regression tests on the application to assure proper functionality of the site after new builds using Clear Quest. • Used Clearcase, Subversion for code repositories and Maven for the dependencies. • Participated in daily, weekly meetings and technical reviews. Prepared reports showing the testing efforts.  Environment: Java, Selenium WebDriver, TestNG, Jenkins, Maven, Cucumber, Eclipse, XPATH, DHTML, SOAP UI, VBScript, Quality center HTML, Oracle11g, MSWord, MS Excel, Agile, SQL, UNIX, Windows 7.
"
"5",5,"Software Developer
Kaarya LLC - Signal Hill, CA
Kaarma is a software company that focuses on enhancing the retail experience for the service departments of car dealerships. The Kaarma application gives the dealership the ability to offer 21st century technology such as, a digital point of sale system, mobile payments, and bi-directional texting/calling/email all in one application that is integrated with their current software systems. Responsibilities: • Developed the Automatic report generation system using Regex (Regular Expression) which optimized the working of system. • Updated the design of Kaarma Server Monitor to listen heartbeats from the systems at dealerships. • As team member of internal infrastructure team, was responsible for creating architecture abstraction to move the architecture onto AWS cloud and to use ELB for load balancing.
"
"6",6,"Python Developer
ettain group - Franklin, TN
Responsibilities Working closely with a software architect on a small team of software engineers to develop a system that improves the speed and reduces the cost of bringing on new clients.  Using Python to develop RESTful APIs that are used to gather various types of client information to be stored in couchbase/elasticsearch.  Using principles of test-driven development.  Skills Used - Python - elasticsearch - couchbase - RabbitMQ - RESTful APIs - Test-Driven Development
"
"7",7,"Computer Lab Assistant
Ensuring the smooth functioning of the Lab Computers
Setting up/Troubleshooting Lab Computers/Network connection. • Overseeing installation of new hardware and software on the Lab platforms. TECHNICAL KNOWLEDGE Programming Languages   Java, C, C++, Python(2.7) Scripting languages     JavaScript, SQL, XML APIs                    J2EE, JSP, Servlets, Struts2 MVC, MySQL, Apache Tomcat, JDBC, TOAD API, Blender Python API
"
"8",8,"Software Engineer (Hadoop Administrator)
DEERWALK INC - Lexington, MA
Lexington, MA, USA (Parent Company of Deerwalk Services Pvt. Ltd.)                              October 2015 - Current Software Engineer (Hadoop Administrator) Job re-offered by the company in parent organization as an invaluable resource. t Automated the manual cluster administration tasks. t Researched in upgrading the infrastructure for bigger data sizes. t Guided and trained a team offshore in newly adopted technologies. t Worked closely with higher-level stakeholders of the organization to improve current processes in the company's Production Environment so as to make it more efficient.
"
"9",9,"Technology Associate, MBS Desk (Front Office)
BANK OF AMERICA - New York, NY
• Electronic Trading • Developed a model using python to control trade execution on parameters such as throughput and hit ratio. • Automated E-Trading reports for gaining insight into daily performance of the application. • Developed a model to generate heat maps for controlling model prices of different bonds.  • Trading Desk Applications • Developed highly optimized tools for pricing CMO and ARM bonds. • Built a reporting tool for calculating daily PnL of CMO bonds using VBA and Bloomberg. • Migrated various legacy excel trading applications to Quartz applications (python). • Implemented changes in the existing tools to meet desk requirements.  • Gained significant knowledge of Mortgage trading
"
"10",10,"Sr. Java Developer
Lowes - Mooresville, NC
Description: Store project tool is a tool used by different managers, interior and exterior specialists in all the Lowes retail stores.  I worked on designing and developing several enhancements to the store project tool to improve compensation and scheduling within the tool.  Responsibilities: • Involved in Project Plan, System & Integration documents. • Attended meetings with the Business clients for the requirement specification and provided analysis and design of the solutions. • Involved in designing different Use Case Diagrams, Class Diagrams, Sequence Diagrams and Object Diagrams using UML to model the detail design of the application. • Developing the Code as per the requirements using Core java. • Developed the application on Eclipse and deployed application on to WebSphere application server (WAS 6.0) • Created various tables required for the tool and used the SQL Stored Procedures in the application for frequent operations on tables. • Developed JUnit Test cases for the classes and tested the application functionality. • Worked with QA team for testing and resolving defects. • Created proposal pdf jasper reports using Jasper. • Involved in Unit testing, and bug fixing, worked with Business Team to execute the business Scenarios and fix the defects.  Environment: Java 1.5, EJB, JSF, JSP, Web sphere 6.0, SQL server, PL/SQL, XML, Eclipse IDE, CVS, Jasper, HTML, CSS, JavaScript, Ajax, Log4j, JUnit framework.
"
