"","id","job","nwords"
"1",1,"Java/J2EE Developer BCBSA ",4
"2",2,"C/C++, Python Developer Constellation Energy ",6
"3",3,"Python developer BedrockData ",3
"4",4,"QA Automation Engineer Cypress Health Care ",6
"5",5,"Software Developer Kaarya LLC ",4
"6",6,"Python Developer ettain group ",4
"7",7,"Computer Lab Assistant Ensuring the smooth functioning of the Lab",10
"8",8,"Software Engineer (Hadoop Administrator) DEERWALK INC ",6
"9",9,"echnology Associate, MBS Desk (Front Office) BANK OF AMERICA ",9
"10",10,"senior Java Developer Lowes ",4
"11",11,"senior Java/ J2EE Developer Dish Network ",6
"12",12,"Java/J2EE Developer Blue Cross Blue Shield ",7
"13",13,"Java Developer AIG Having 8.6 years of experience in",10
"14",14,"Java Developer Amerisource Berge ",4
"15",15,"Embedded software developer Boston Scientific ",5
"16",16,"Software Engineer in esting, Framework team at Motorola Responsible for",10
"17",17,"Senior Software Engineer iVo Inc ",5
"18",18,"Student Manager Direct Wage Set up of different types of",10
"19",19,"QA Engineer Altisource Labs esting and validating REALDoc UI, API",10
"21",21,"python/django developer DjangoStars 2013.04 ",6
"22",22,"Software Developer Engineer Narra Systems LLC ",6
"23",23,"Software Engineer CDI corporation ",4
"24",24,"MIDDLEWARE ARCHEC/WEB ENGINEER Paychex Inc ",6
"25",25,"senior Java Developer CIM Group",5
"26",26,"Systems Analyst he Credorax Group ",5
"27",27,"Senior echnical Lead S3 Group ",5
"28",28,"Software Engineer PageFair Limited ",4
"29",29,"Software WebApps Engineer ",3
"30",30,"Researcher Columbia University M edical Center, aub Institute ",8
"31",31,"Senior est Engineer Rockwell Automation ",5
"32",32,"Senior MySQL DBA Percona MySQL Ubuntu, Python, Nagios Besides working",10
"33",33,"Systems Engineer Amazon ",3
"34",34,"Planning and Development Services Division HE CIY OF OVERLAND PARK",10
"35",35,"Senior Quality Assurance Engineer, Python Programmer eltronics Inc ",8
"36",36,"Software Engineering Analyst ACCENURE ",4
"37",37,"Java/Web Developer Intern Savannah River Nuclear Solutions ",8
"38",38,"Concrete Finisher Python Corporations ",4
"39",39,"java developer khodro azma sanjesh co ",6
"40",40,"Software QA ester LASH Corp ",5
"41",41,"Research Assistant Illinois Institute of echnology ",6
"42",42,"Module Lead Java/Flex development Citibank ICG Reengineering ",8
"43",43,"senior Java Developer Bank of America ",6
"44",44,"Web Programmer (emporary Position) Diocese of Wheeling Charleston ",8
"45",45,"Senior JavaScript Developer Mobiquity ",4
"46",46,"FX Developer, AVP Bank of America ",6
"47",47,"Stage Inria Rh√ne",3
"48",48,"rading Systems Engineer Fair Value Partners ",6
"49",49,"Principal Software Engineer Rolls",4
"50",50,"Vice President, Municipal Bond Strategies Napier Park Global Capital ",9
"51",51,"JavaScript Web Programmer Intern US Department of Energy ",8
"52",52,"Server Side Java Developer A& Labs  Server Side Java Developer",10
"53",53,"Night Auditor Multiple National Society ",5
"54",54,"Systems Engineer II Raytheon Missile Systems ",6
"55",55,"Data Scientist Clear Capital ",4
"56",56,"Python Developer UNIV. OF CALIFORNIA BERKELEY ",6
"57",57,"Specialist Detector Pool ",3
"58",58,"Python Developer Leap Frog ",4
"59",59,"Application Developer he Modern Grad ",5
"60",60,"USDA/NRCS software support Spry Methods, Inc ",7
"61",61,"Healthcare Platform Interoperability Manager MDLIVE Inc ",6
"62",62,"I LINUX Specialist/Computer Engineer/Network Administrator/ NEWORK GURU USA",10
"64",64,"Java Developer Deloitte ",3
"65",65,"Software Engineer IFS R&D LD, Colombo, Sri Lanka  [] ",9
"66",66,"est Automation Engineer Wesgrow Software  Selenium",6
"67",67,"Research Assistant Great Lakes Integrated Sciences ",6
"68",68,"senior Java Developer Southwest Airlines, Love Field, X Roles & Responsibilities",10
"69",69,"Software Automation Developer (Python) Ardia & Intel ",6
"70",70,"Senior Java Developer PNC Bank ",5
"71",71,"WaterSMAR Intern Western Geographic Science Center U.S. Geological Survey",10
"72",72,"Assistant Warehouse Manager PYHON SAFEY ",5
"73",73,"senior Python Engineer Hewlett Packard ",5
"74",74,"Research Assistant and Postdoctoral Researcher he University of Iowa ",9
"75",75,"Entry level ASIC design of 3D DRAM emperature Aware Refresh",10
"76",76,"Project Leader Columbia University ",4
"77",77,"FPGA ENGINEER I IXIA ",4
"78",78,"Big Data Lead / Architect Capitol One ",6
"79",79,"Electric Utility Engineer Leidos ",4
"80",80,"Graduate Research Assistant Center for Advance Life Cycle Engineering  Object",10
"81",81,"Senior software QA Blytheco, LLC ",5
"82",82,"est Automation Engineer Cisco Systems, Inc ",6
"83",83,"Vice President Bank of America  development of 2nd generation Quartz",10
"84",84,"PYHON DEVELOPER KYRUUS/ SOWE GROUP Primarily worked on Kyruus's",10
"85",85,"senior UI/UX Developer Johnson Controls, Inc ",7
"86",86,"Senior Deployment Specialist SIA ",4
"87",87,"python developer staffing at google ",5
"88",88,"Senior Director, Advising Engineering Hobsons, Inc Leading the Advising Engineering",10
"89",89,"Founding Member and Propulsion Engineer Additive Rocket Company LLC ",9
"90",90,"QA Engineer Nuance ",3
"91",91,"Multimedia and Networking QA Engineer ",5
"92",92,"Application Support Analyst Engineer Experian/BakerHill ",6
"93",93,"Database/Application Analyst AnviCare, Incorporated Developed database backends and multi",10
"94",94,"Student Researcher Price Lab, Brigham Young University ",7
"95",95,"senior JAVA DEVELOPER VERIZON ",4
"96",96,"Graduate Research Assistant University of South Florida ",7
"97",97,"Software Programmer Firetech ",3
"98",98,"Freelance Web Developer Chicago, IL  Build applications utilizing PHP and",10
"99",99,"Lead Python Developer DinnerWire, Inc 50000+ lines of Python, SQLAlchemy",10
"100",100,"Database/Program Support Specialist State Corporation Commission ",7
"101",101,"Solutions Architect Human Capital Solutions ",5
"102",102,"Software Developer Shapiro + Raj Shapiro + Raj"" is leading market research",10
"103",103,"Junior Python Software Engineer Nativo ",5
"104",104,"Research Assistant for Professor Ahmad Hadaegh CALIFORNIA SAE UNIVERSIY SAN",10
"105",105,"Software Quality Assurance Analyst Funeral Services, Inc ",7
"106",106,"LAMMPS, MD++, Python Research Assistantship, Stanford University Superviser: Pr Wei",10
"107",107,"senior Java UI Web Developer ABN AMRO ",7
"108",108,"Software Developer Repiscore, Inc Managed Linux servers and software deployment",10
"109",109,"BI technical consultant EJADA Ltd Credit Agricole Egypt†Member of",10
"110",110,"senior Software Developer Dupont Pioneer ",5
"111",111,"Senior Java Developer Mercury ",4
"113",113,"Stage en laboratoire de recherche LAICE (Laboratoire de recherche en",10
"114",114,"Senior Java/J2EE Developer Chicago ribune, ribune Group ",8
"115",115,"Research Assistant UCSF Sabes Lab ",5
"116",116,"Consultant Geographic Information Systems Rock",5
"117",117,"Embedded Software Development and est Engineer Motorola Mobility ",8
"118",118,"Made a sign language to Speech wearable translator WearHacks October",10
"119",119,"Principal Engineer Elekta Inc. ",4
"120",120,"echnical Lead / Network security engineer / c++/ python Alten Calsoft Labs",10
"121",121,"senior Research Associate Illinois Institute of echnology ",7
"122",122,"System Integration est Engineer Canoga Perkins ",6
"123",123,"Senior Python Developer John Deere ISG ",6
"124",124,"Junior Java Developer Insour Sys ",5
"126",126,"Java J2EE Developer Bancec ",4
"127",127,"Security Engineer Intern Gaikai, a Sony Computer Entertainment Company ",9
"128",128,"Senior Software Engineer Microsoft Corporation, Redmond Role: Software Architect† Architecture",10
"129",129,"College Intern Cisco Systems ",4
"130",130,"Senior Software Engineer BZ Robot Inc ",6
"131",131,"Research Assistant Florida State University ",5
"132",132,"Release Engineer Intern Ericsson ",4
"133",133,"Rack Repair ARC ",3
"134",134,"Senior DevOps Engineer Spirent ",4
"135",135,"senior Java Developer Catalina Marketing Corporation ",6
"136",136,"Senior Design Cloud",3
"137",137,"seniorJava Developer John Deere Financial ",5
"138",138,"Java\J2ee Developer United Health Group ",6
"139",139,"ing√nieur Airbus ",2
"140",140,"Research Assistant University of Utah ",5
"141",141,"Java PL/SQL Developer ata Consultancy Services (CS) ",8
