,token,Count
18,adobe,22
21,ajax,66
23,amazon,15
29,android,11
30,angularjs,22
31,aop,25
32,api,56
33,app,46
34,application,875
38,arm,10
39,asp.net,22
44,at&t,10
45,atg,16
51,automation,186
53,aws,37
56,backend,90
59,banking,35
70,bootstrap,21
76,bug,109
82,c,87
83,c/c,10
95,cassandra,11
106,cisco,64
112,cloud,83
113,cloudera,17
115,cms,10
116,code,386
158,css,35
163,cvs,10
164,cxf,18
202,django,97
211,e-commerce,22
212,eagle,10
213,eclipse,73
225,encryption,10
258,firmware,12
268,framework,121
275,fx,10
279,gis,27
280,git,54
285,gui,46
286,hadoop,70
289,hardware,58
301,html,73
302,http,22
305,ibm,104
342,j2ee,54
343,jar,11
344,jasper,30
345,java,1093
346,javascript,57
347,jax,133
348,jboss,50
349,jdbc,33
352,jira,23
353,jms,53
355,jquery,79
356,js,39
357,jsf,42
358,json,44
359,jsp,86
360,jstl,11
361,junit,135
369,ldap,12
381,linux,160
406,matlab,11
417,microsoft,20
438,mysql,69
450,office,43
451,openstack,10
456,oracle,163
483,pl/sql,54
518,python,712
563,sas,13
573,scikit,12
597,shell,117
607,soap,201
614,spark,11
620,spring,1088
621,sprint,23
622,sql,170
623,stack,58
635,struts,133
691,twitter,13
693,ubuntu,13
694,ui,42
697,unix,45
709,vba,11
728,weblogic,15
729,webservices,10
730,website,47
731,websphere,128
734,windows,62
736,wordpress,13
744,xml,185
