"","X","name","type","document_id"
"1",1,"acknowledgements","OTHER",1
"2",2,"angularjs","OTHER",1
"3",3,"ansi x12","OTHER",1
"4",4,"ant","OTHER",1
"5",5,"apache ant","CONSUMER_GOOD",1
"6",6,"api","OTHER",1
"7",7,"application","OTHER",1
"8",8,"approach","OTHER",1
"9",9,"beans","OTHER",1
"10",10,"best practices","OTHER",1
"11",11,"bootstrap","OTHER",1
"12",12,"bug tracking","OTHER",1
"13",13,"bugzilla","OTHER",1
"14",14,"building tool","OTHER",1
"15",15,"business","OTHER",1
"16",16,"business logic","OTHER",1
"17",17,"business rules","OTHER",1
"18",18,"classes","OTHER",1
"19",19,"code","OTHER",1
"20",20,"coding","OTHER",1
"21",21,"coding standars","OTHER",1
"22",22,"collections","OTHER",1
"23",23,"communication","OTHER",1
"24",24,"complex sql commands","OTHER",1
"25",25,"components","OTHER",1
"26",26,"conversions apis","OTHER",1
"27",27,"core java","OTHER",1
"28",28,"css3","OTHER",1
"29",29,"data","OTHER",1
"30",30,"data transfer","OTHER",1
"31",31,"database","OTHER",1
"32",32,"database sql queries","OTHER",1
"33",33,"db","CONSUMER_GOOD",1
"34",34,"debug","OTHER",1
"35",35,"design","OTHER",1
"36",36,"design patterns","OTHER",1
"37",37,"details","OTHER",1
"38",38,"developer bcbsa","OTHER",1
"39",39,"development","OTHER",1
"40",40,"eclipse","CONSUMER_GOOD",1
"41",41,"edi","OTHER",1
"42",42,"environment","OTHER",1
"43",43,"environments","OTHER",1
"44",44,"error","OTHER",1
"45",45,"exchange","OTHER",1
"46",46,"findbugs","CONSUMER_GOOD",1
"47",47,"format","OTHER",1
"48",48,"framework","OTHER",1
"49",49,"functionalities","OTHER",1
"50",50,"health care","OTHER",1
"51",51,"healthcare","OTHER",1
"52",52,"hibernate","OTHER",1
"53",53,"hml5","OTHER",1
"54",54,"home plans","OTHER",1
"55",55,"host plans","OTHER",1
"56",56,"hreads","OTHER",1
"57",57,"implementation","OTHER",1
"58",58,"info","OTHER",1
"59",59,"information","OTHER",1
"60",60,"integration testing","OTHER",1
"61",61,"issues","OTHER",1
"62",62,"j2ee","CONSUMER_GOOD",1
"63",63,"javascript","OTHER",1
"64",64,"jms","OTHER",1
"65",65,"jquery","OTHER",1
"66",66,"json","OTHER",1
"67",67,"junit","CONSUMER_GOOD",1
"68",68,"lead","OTHER",1
"69",69,"levels","OTHER",1
"70",70,"log files","OTHER",1
"71",71,"log4j","CONSUMER_GOOD",1
"72",72,"message","OTHER",1
"73",73,"methodology","OTHER",1
"74",74,"modules","OTHER",1
"75",75,"navigation","OTHER",1
"76",76,"pages","OTHER",1
"77",77,"pcms framework for ui","OTHER",1
"78",78,"platform solution","OTHER",1
"79",79,"platform solution","OTHER",1
"80",80,"project","OTHER",1
"81",81,"project description","OTHER",1
"82",82,"project development lifecycles","OTHER",1
"83",83,"property loading","OTHER",1
"84",84,"queries","OTHER",1
"85",85,"ransactions","OTHER",1
"86",86,"representation","OTHER",1
"87",87,"requirement analysis","OTHER",1
"88",88,"requirements","OTHER",1
"89",89,"response","OTHER",1
"90",90,"responsibilities","OTHER",1
"91",91,"screens","OTHER",1
"92",92,"soap","CONSUMER_GOOD",1
"93",93,"soap webservices","OTHER",1
"94",94,"sonar","OTHER",1
"95",95,"sonar","OTHER",1
"96",96,"statis defects","OTHER",1
"97",97,"sync-up","OTHER",1
"98",98,"systems","OTHER",1
"99",99,"tests","OTHER",1
"100",100,"transaction management","OTHER",1
"101",101,"transactions","OTHER",1
"102",102,"ui layer","OTHER",1
"103",103,"understanding","OTHER",1
"104",104,"use case requirements","OTHER",1
"105",105,"user experience","OTHER",1
"106",106,"user interface","OTHER",1
"107",107,"vcml","OTHER",1
"108",108,"web services","OTHER",1
"109",109,"web sphere mq applications","OTHER",1
