"","name","type","document_id"
"1","acknowledgements","OTHER",1
"2","AngularJS","OTHER",1
"3","ANSI X12","OTHER",1
"4","Ant","OTHER",1
"5","Apache Ant","CONSUMER_GOOD",1
"6","API","OTHER",1
"7","application","OTHER",1
"8","approach","OTHER",1
"9","beans","OTHER",1
"10","best practices","OTHER",1
"11","Bootstrap","OTHER",1
"12","bug tracking","OTHER",1
"13","Bugzilla","OTHER",1
"14","building tool","OTHER",1
"15","business","OTHER",1
"16","Business logic","OTHER",1
"17","business rules","OTHER",1
"18","classes","OTHER",1
"19","code","OTHER",1
"20","coding","OTHER",1
"21","coding standars","OTHER",1
"22","Collections","OTHER",1
"23","communication","OTHER",1
"24","Complex SQL Commands","OTHER",1
"25","components","OTHER",1
"26","conversions apis","OTHER",1
"27","Core Java","OTHER",1
"28","CSS3","OTHER",1
"29","data","OTHER",1
"30","Data transfer","OTHER",1
"31","database","OTHER",1
"32","Database SQL queries","OTHER",1
"33","DB","CONSUMER_GOOD",1
"34","debug","OTHER",1
"35","Design","OTHER",1
"36","design patterns","OTHER",1
"37","details","OTHER",1
"38","Developer BCBSA","OTHER",1
"39","development","OTHER",1
"40","Eclipse","CONSUMER_GOOD",1
"41","EDI","OTHER",1
"42","Environment","OTHER",1
"43","environments","OTHER",1
"44","error","OTHER",1
"45","Exchange","OTHER",1
"46","Findbugs","CONSUMER_GOOD",1
"47","format","OTHER",1
"48","framework","OTHER",1
"49","functionalities","OTHER",1
"50","Health Care","OTHER",1
"51","healthcare","OTHER",1
"52","Hibernate","OTHER",1
"53","HML5","OTHER",1
"54","home plans","OTHER",1
"55","host plans","OTHER",1
"56","hreads","OTHER",1
"57","implementation","OTHER",1
"58","info","OTHER",1
"59","information","OTHER",1
"60","integration testing","OTHER",1
"61","issues","OTHER",1
"62","J2EE","CONSUMER_GOOD",1
"63","JavaScript","OTHER",1
"64","JMS","OTHER",1
"65","JQuery","OTHER",1
"66","JSON","OTHER",1
"67","JUnit","CONSUMER_GOOD",1
"68","Lead","OTHER",1
"69","levels","OTHER",1
"70","log files","OTHER",1
"71","Log4j","CONSUMER_GOOD",1
"72","message","OTHER",1
"73","methodology","OTHER",1
"74","modules","OTHER",1
"75","navigation","OTHER",1
"76","pages","OTHER",1
"77","PCMS Framework for UI","OTHER",1
"78","platform solution","OTHER",1
"79","platform Solution","OTHER",1
"80","project","OTHER",1
"81","Project Description","OTHER",1
"82","project development lifecycles","OTHER",1
"83","property loading","OTHER",1
"84","queries","OTHER",1
"85","ransactions","OTHER",1
"86","representation","OTHER",1
"87","requirement analysis","OTHER",1
"88","requirements","OTHER",1
"89","response","OTHER",1
"90","Responsibilities","OTHER",1
"91","screens","OTHER",1
"92","SOAP","CONSUMER_GOOD",1
"93","SOAP webservices","OTHER",1
"94","Sonar","OTHER",1
"95","SONAR","OTHER",1
"96","statis defects","OTHER",1
"97","sync-up","OTHER",1
"98","systems","OTHER",1
"99","tests","OTHER",1
"100","transaction Management","OTHER",1
"101","transactions","OTHER",1
"102","UI layer","OTHER",1
"103","understanding","OTHER",1
"104","Use case requirements","OTHER",1
"105","user experience","OTHER",1
"106","user interface","OTHER",1
"107","VCML","OTHER",1
"108","web services","OTHER",1
"109","Web Sphere MQ Applications","OTHER",1
"110","web UI standards","OTHER",1
"111","webservices","OTHER",1
"112","Webservices","OTHER",1
"113","WSDL","OTHER",1
"114","XML","OTHER",1
"115","XML documents","OTHER",1
"116","XSL","OTHER",1
"117","Addition","OTHER",2
"118","alternatives","OTHER",2
"119","Boost Python","OTHER",2
"120","C/C++","OTHER",2
"121","C++","OTHER",2
"122","code review","OTHER",2
"123","data retrieval","OTHER",2
"124","database server","OTHER",2
"125","Debugging","OTHER",2
"126","features","OTHER",2
"127","grammar","OTHER",2
"128","GUI","OTHER",2
"129","interface","OTHER",2
"130","language construct","OTHER",2
"131","MD Responsibilities SecDb","OTHER",2
"132","problems","OTHER",2
"133","PyQt","OTHER",2
"134","python","OTHER",2
"135","Python Developer Constellation Energy","OTHER",2
"136","python interface","OTHER",2
"137","scripting language","OTHER",2
"138","SecDb C/C++ api","OTHER",2
"139","Security Language","OTHER",2
"140","server","OTHER",2
"141","shortcomings","OTHER",2
"142","Slang","OTHER",2
"143","software design","OTHER",2
"144","solutions","OTHER",2
"145","testing","OTHER",2
"146","trading applications","OTHER",2
"147","ability","OTHER",3
"148","Active Admin","OTHER",3
"149","Amazon Web Services","OTHER",3
"150","BedrockData","OTHER",3
"151","design","OTHER",3
"152","Exprienced","OTHER",3
"153","Git","OTHER",3
"154","index pages","OTHER",3
"155","jQuery","CONSUMER_GOOD",3
"156","Knockout","OTHER",3
"157","Linux","CONSUMER_GOOD",3
"158","list","OTHER",3
"159","loading","OTHER",3
"160","MA Database","OTHER",3
"161","modeling","OTHER",3
"162","more","OTHER",3
"163","MySQL","OTHER",3
"164","programming","OTHER",3
"165","Record","OTHER",3
"166","review","OTHER",3
"167","RSpec","OTHER",3
"168","Ruby on Rails","CONSUMER_GOOD",3
