"","state","Count","lat","long"
"1","AL",3,32.318231,-86.902298
"2","AR",5,35.20105,-91.831833
"3","AZ",21,34.048928,-111.093731
"4","CA",245,36.778261,-119.417932
"5","CO",27,39.550051,-105.782067
"6","DC",6,38.905985,-77.033418
"7","DE",7,38.910832,-75.52767
"8","FL",48,27.664827,-81.515754
"9","GA",58,32.157435,-82.907123
"10","HI",1,19.898682,-155.665857
"11","IA",18,41.878003,-93.097702
"12","ID",5,44.068202,-114.742041
"13","IL",59,40.633125,-89.398528
"14","IN",19,40.551217,-85.602364
"15","KS",7,39.011902,-98.484246
"16","KY",3,37.839333,-84.270018
"17","LA",7,31.244823,-92.145024
"18","MA",57,42.407211,-71.382437
"19","MD",25,39.045755,-76.641271
"20","ME",2,45.253783,-69.445469
"21","MI",35,44.314844,-85.602364
"22","MN",25,46.729553,-94.6859
"23","MO",16,37.964253,-91.831833
"24","MS",33,32.354668,-89.398528
"25","NC",42,35.759573,-79.0193
"26","ND",3,47.551493,-101.002012
"27","NE",6,41.492537,-99.901813
"28","NH",8,43.193852,-71.572395
"29","NJ",51,40.058324,-74.405661
"30","NM",4,34.97273,-105.032363
"31","NV",3,38.80261,-116.419389
"32","NY",134,43.299428,-74.217933
"33","OH",35,40.417287,-82.907123
"34","OK",4,35.007752,-97.092877
"35","OR",19,43.804133,-120.554201
"36","PA",43,41.203322,-77.194525
"37","RI",8,41.580095,-71.477429
"38","SC",9,33.836081,-81.163725
"39","SD",5,43.969515,-99.901813
"40","VA",51,37.431573,-78.656894
"41","WA",33,47.751074,-120.740139
"42","WI",12,43.78444,-88.787868
"43","WV",1,38.597626,-80.454903
"44",NA,708,NA,NA
